Recettes,Ingrédients
Galettes d’aubergines à la mozzarella.html,"['150 g aubergine(s)', '50 g farine', '20 g mozzarella', '1 c. à café huile(s) végétale(s)', '  basilic']"
"Galettes d’avoine, poireaux, carottes.html","['100 g carotte(s)', '100 g poireau(x)', '100 g flocons d’avoine', '1 pincée(s) cumin', '  huile d’olive']"
Galettes d’épinards à l’avoine.html,"['150 g épinards', '50 g fromage blanc', ""50 g farine d'avoine"", '40 mL lait', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Galettes façon boeuf bourguignon.html,"['50 g carotte(s)', '50 g coulis de tomates', '50 g pomme(s) de terre', '20 g farine de maïs', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
"Galettes façon curry de poisson, carottes et ananas.html","['100 g carotte(s)', '50 mL lait de coco', '40 g farine de maïs', '30 g ananas', '10 g cabillaud', '1 pincée curry']"
"Galettes polenta épinards, avocat.html","['25 g polenta', '100 g épinards', '1  oeuf(s)', '  huile(s) végétale(s)', '1  avocat(s)']"
Galettes printanières.html,"['50 g carotte(s)', '40 mL lait', '30 g farine de maïs', '25 g petits pois', '25 g navet(s)', '1 c. à café huile(s) végétale(s)', '1 c. à café fécule de maïs']"
Galettes épinards polenta.html,"['50 g épinards', '50 g polenta', '½  échalote(s)', '1 c. à café huile(s) végétale(s)']"
Gaspacho de concombre.html,"['200 g concombre', '20 g pain', '1 c. à café huile(s) végétale(s)', 'quelques feuilles menthe']"
"Gaspacho vert de petits pois, concombre, feta et menthe.html","['130 g concombre', '1 feuilles menthe', '60 g petits pois', '20 g feta', '1 c. à café huile(s) végétale(s)']"
Gaufres au maïs et fromage blanc à la ciboulette.html,"['200 g maïs', '100 mL lait', '60 g farine de maïs', '30 g fromage blanc', '1 c. à café huile d’olive', '1 pincée(s) paprika', '  ciboulette']"
Gaufres aux 4 légumes.html,"['50 g blanc(s) de poireau', '50 g panais', '50 g carotte(s)', '50 g céleri-branche', '60 g farine', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Gaufres aux carottes et lentilles corail.html,"['100 g lentilles corail', '200 g carotte(s)', '100 g farine', '2  oeuf(s)', '50 g beurre', '1  yaourt nature', '1 c. à café curry']"
Gaufres aux carottes et maïs et tartinade de poivron au poulet.html,"['100 g carotte(s)', '50 g maïs', '50 g poivron(s) rouge(s)', '30 g farine de maïs', '10 g fromage frais', '10 g poulet', '1 c. à café huile(s) végétale(s)']"
Gaufres aux carottes et maïs.html,"['100 g carotte(s)', '50 g maïs', '30 g farine de maïs', '1 c. à café huile(s) végétale(s)']"
"Gaufres aux carottes, maïs et guacamole.html","['100 g carotte(s)', '50 g maïs', '30 g farine de maïs', '1 c. à café huile(s) végétale(s)', '½  avocat(s)', '1 c. à café jus de citron', '1 pincée cumin', '1 pincée paprika']"
"Gaufres aux carottes, maïs et sardines.html","['100 g carotte(s)', '50 g maïs', '30 g farine de maïs', '10 g sardine', '1 c. à café huile(s) végétale(s)']"
Gaufres aux légumes façon pizza.html,"['1  courgette', '100 g coulis de tomates', '200 g farine', '2  oeuf(s)', '1  mozzarella', '1 poignée(s) olives', '1 c. à soupe huile d’olive', '  origan']"
Gaufres aux petits légumes et au jambon.html,"['60 mL lait', '60 g farine', '50 g petits pois', '50 g carotte(s)', '50 g pomme(s) de terre', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '  persil']"
Gaufres aux petits légumes et cabillaud.html,"['60 mL lait', '50 g navet(s)', '50 g carotte(s)', '50 g petits pois', ""50 g farine d'avoine"", '10 g cabillaud', '1 c. à café huile(s) végétale(s)', '  persil']"
Gaufres aux petits légumes.html,"['60 mL lait', '60 g farine', '50 g pomme(s) de terre', '50 g carotte(s)', '50 g petits pois', '1 c. à café huile(s) végétale(s)', '  persil']"
Gaufres carotte jambon maïs et tartinade aux haricots verts.html,"['250 g carotte(s)', '50 g maïs', '10 g jambon blanc', '80 g farine', '1 c. à café poudre à lever', '¼ c. à café cumin', '2  oeuf(s)', '1 c. à soupe  huile d’olive', '50 g haricots verts', '1 c. à café crème fraîche']"
"Gaufres concombre, petits pois et feta.html","['130 g concombre', '70 g petits pois', '2 c. à soupe farine de blé', '2 c. à soupe farine de riz', '10 g feta', '1 c. à café huile(s) végétale(s)', '  menthe']"
Gaufres de courgette et concombre.html,"['130 g concombre', '70 g courgette(s)', ""50 g farine d'avoine"", '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Gaufres de patate douce aux noisettes.html,"['150 g patate(s) douce(s)', '90 mL lait', '3 c. à soupe farine de pois chiches', '1 c. à soupe farine', '15 g noisettes en poudre', '1 c. à soupe huile(s) végétale(s)']"
Gaufres de patate douce et crème de poireaux.html,"['100 g patate(s) douce(s)', '60 mL lait', '50 g blanc(s) de poireau', '2 c. à soupe farine de pois chiches', '1 c. à soupe farine', '1 c. à café huile(s) végétale(s)', '1 c. à café crème fraîche']"
Gaufres de patate douce.html,"['300 g patate(s) douce(s)', '80 g farine', '2  oeuf(s)', '1 c. à soupe huile(s) végétale(s)', '1 c. à café poudre à lever', '  épices']"
Gaufres de petits pois concombre et feta.html,"['130 g concombre', '70 g petits pois', '4 c. à soupe farine', '10 g feta', '1 c. à soupe huile(s) végétale(s)', '½ c. à café herbes aromatiques']"
Gaufres de petits pois.html,"['150 g petits pois', '2 c. à soupe fécule de maïs', '25 mL lait', '1 c. à café huile(s) végétale(s)', '1 pincée herbes aromatiques']"
Gaufres de pomme de terre (façon röstis).html,"['500 g pomme(s) de terre', '1  oeuf(s)', '100 g farine', '120 mL lait', '1 c. à soupe huile d’olive']"
Gaufres de potimarron aux lentilles corail.html,"['100 g potimarron', '50 g farine', '50 g fromage blanc', '40 g lentilles corail', '1 c. à café huile(s) végétale(s)', '1 pincée curry']"
Gaufres tex-mex.html,"['150 g poivron(s) rouge(s)', '50 g maïs', '80 g farine', '20 g boeuf haché', '1  oeuf(s)', '1 c. à soupe  huile(s) végétale(s)', '1 c. à café poudre à lever', '½ c. à café herbes de Provence']"
Gaufres à la betterave.html,"['200 g betterave(s)', '200 g farine', '200 mL lait', '25 g beurre', '2  oeuf(s)', '½ sachet(s) poudre à lever']"
"Gaufres à l’aubergine, mozzarella et dinde.html","['½  aubergine(s)', '50 g pomme(s) de terre', '10 g dinde', '¼  oignon(s)', '10 g mozzarella', '4 c. à soupe farine', '1 filet huile d’olive', '  basilic', '  poivre']"
Gaufres épinards patate douce (sans oeuf).html,"[""100 g pousses d'épinards"", '50 g patate(s) douce(s)', '4 c. à soupe farine', '1 filet huile(s) végétale(s)']"
Glaces au melon.html,['100 g melon']
Gnocchis de betterave.html,"['40 g betterave(s)', '40 g farine', '100 g pomme(s) de terre']"
Gnocchis de carottes et boeuf haché avec son pesto au basilic.html,"['50 g carotte(s)', '35 g pomme(s) de terre', '45 g farine', '10 g boeuf haché', '5 feuille(s) basilic', '1 c. à soupe  huile d’olive', '5 g pignons de pin', '5 g parmesan']"
Gnocchis de carottes et sa crème au fenouil.html,"['50 g carotte(s)', '45 g farine', '35 g pomme(s) de terre', '40 g fenouil', '10 g crème fraîche']"
Gnocchis de haricots verts et sauce tomate.html,"['50 g haricots verts', '45 g farine', '35 g pomme(s) de terre', '60 g tomate(s)', '1 pincée(s) herbes aromatiques']"
Gnocchis de panais au sarrasin.html,"['120 g panais', '1 c. à soupe farine de sarrasin', '1 c. à soupe fécule de maïs']"
Gnocchis de patate douce et compotée de figues.html,"['150 g patate(s) douce(s)', '35 g farine', '60 g figue(s)', '5 g beurre']"
Gnocchis de poivrons et crème de maïs au boeuf.html,"['50 g poivron', '50 g maïs', '45 g farine', '35 g pomme de terre', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)']"
Gnocchis de poivrons et crème de maïs.html,"['50 g poivron(s) rouge(s)', '35 g pomme(s) de terre', '45 g farine', '50 g maïs', '1 filet huile(s) végétale(s)']"
Gnocchis de pommes de terre et carottes.html,"['150 g carotte(s)', '150 g pomme(s) de terre', '1 pincée(s) cumin', '100 g farine']"
Gratin de chou-fleur au jambon.html,"['250 g chou-fleur', '20 g jambon blanc', '1 c. à soupe crème fraîche', '  parmesan']"
Gratin de chouchou.html,"['200 g chayote(s)', '1 c. à café huile d’olive', '1 c. à café farine', '100 mL lait', '1 pincée fromage râpé', '1 pincée thym']"
Gratin de crozets à la fondue de poireaux.html,"['130 g poireau(x)', '20 g crozets', '10 g reblochon', '1 c. à soupe crème']"
"Gratin de pomme de terre, sauce tomate au céleri.html","['125 g pomme(s) de terre', '1 c. à soupe crème', '¼ gousse ail', '1 pincée persil', '50 mL coulis de tomates', '50 g céleri-branche', '¼  oignon(s)', '1 pincée fromage râpé', '1 pincée thym']"
Gratin de pâtes aux épinards et au thon.html,"['25 g pâtes', ""130 g pousses d'épinards"", '15 à 20 g thon', '1 c. à café farine', ""1 c. à café huile d'olive"", '50 mL lait']"
Gratin fondant de chou-fleur au jambon.html,"['130 g chou-fleur', '60 g pomme(s) de terre', '15 g jambon blanc', ""1 c. à café huile d'olive"", '1 c. à café farine', '50 mL lait', '1 pincée muscade moulue']"
Gruau aux poireaux.html,"[""20 g flocons d'avoine"", '120 g poireau(x)', '1 c. à café huile(s) végétale(s)']"
Gyozas aux légumes.html,"['100 g farine', '50 mL eau tiède', '  mélange de légumes au choix', '  gingembre frais', '  coriandre', '  huile(s) végétale(s)']"
Gâteaux de riz salés aux courgettes et boeuf haché.html,"['10 g boeuf haché', '50 g riz', '1  courgette(s)', '¼  oignon(s)', '1  oeuf(s)', '60 mL lait', '1 c. à café curry', '  huile d’olive']"
Harcha au fromage et navets au curcuma.html,"['50 g semoule fine', '10 g fromage frais', '1 pincée persil', '150 g navet(s)', '1 pincée curcuma', '½ c. à café poudre à lever', ""1 c. à café huile d'olive""]"
Harcha au thon et persil.html,"['55 g semoule fine', '½ c. à café poudre à lever', '1 c. à soupe huile d’olive', '20 g thon', '  persil', '30 mL eau']"
Houmous de haricots blancs et ses galettes aux légumes.html,"[""100 g flocons d'avoine"", '120 g carotte(s)', '120 g navet(s)', '20 g oignon(s)', '1 pincée graines', '1 pincée herbes aromatiques', ""1 c. à soupe huile d'olive"", '80 g haricots blancs', '½ gousse ail', '½  citron(s)', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Jardinière de légumes (version DME).html,"['50 g brocoli', '50 g carotte(s)', '50 g chou-fleur', '30 g fromage blanc', '  ciboulette']"
Joue de boeuf au curry et semoule.html,"['25 g joue de boeuf', '75 g carotte(s)', '50 g navet(s)', '¼ g oignon(s) jaune(s)', '25 g semoule de couscous', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques', ' pincée curry']"
Joue de lotte-riz au pesto d’épinards.html,"['15 g riz', '15 g lotte', '130 g épinards', '10 g noix de cajou', '10 g comté', ""1 c. à café huile d'olive"", '½  citron(s)']"
Julienne de légumes et boulettes de lentilles corail.html,"['90 g courgette(s)', '90 g carotte(s)', '25 g lentilles corail', '10 g fromage frais', '1 c. à soupe farine', '1 pincée herbes aromatiques', '1 c. à café huile(s) végétale(s)']"
Lanières d’omelette.html,"['1  oeuf(s)', '1 c. à café huile d’olive']"
"Lapin mijoté aux champignons, carottes et quinoa.html","['20 g lapin', '75 g champignons', '75 g carotte(s)', '20 g oignon(s) jaune(s)', '15 g quinoa', '1 c. à café crème', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques']"
Lentilles au potimarron et noisettes.html,"['220 g potiron', '20 g lentilles vertes', '1 c. à café huile(s) végétale(s)', '1 c. à soupe noisettes en poudre', '  coriandre', ' pincée bicarbonate de soude alimentaire']"
Lentilles carottes au boeuf.html,"['15 g lentilles vertes', '150 g carotte(s)', '¼  oignon(s)', '20 g boeuf', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)']"
Lentilles à la courge butternut.html,"['15 g lentilles vertes', '200 g butternut', '1 c. à café huile(s) végétale(s)', '1 pincée épices', '1 pincée herbes aromatiques']"
Légumes au curry et riz.html,"['20 g riz', '50 g navet(s)', '50 g carotte(s)', '50 g poireau(x)', '¼  oignon(s)', '1 c. à café crème', '1 pincée curry']"
"Maquereau au beurre citronné, riz et petits légumes.html","['25 g riz', '50 g navet(s)', '50 g carotte(s)', '50 g poireau(x)', '¼  oignon(s)', '20 g maquereau', '1 noisette beurre', '½  citron(s)']"
Melon en morceaux et menthe fraîche.html,"['200 g melon', '  menthe']"
Melon en morceaux.html,['  melon']
Méli-mélo de légumes.html,"['50 g haricots verts', '50 g tomate(s)', '60 g carotte(s)', '60 g poivron(s) rouge(s)', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques']"
Mijoté de boeuf aux légumes et sa polenta.html,"['25 g joue de boeuf', '75 g carotte(s)', '50 g navet(s)', '¼ g oignon(s) jaune(s)', '15 g polenta', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques']"
Mijoté de veau et épinards aux pommes de terre.html,"['80 g pomme(s) de terre', '125 g épinards', '20 g veau', ""1 c. à soupe huile d'olive"", '½ gousse ail', '½  oignon(s)']"
Minestrone aux haricots blancs et pesto de persil.html,"['75 g carotte(s)', '75 g navet(s)', '40 g haricots blancs', '20 g concentré de tomates', '20 g oignon(s)', '10 g parmesan', '1 c. à soupe huile(s) végétale(s)', '1 poignée  persil', '1 poignée  pignons de pin', '½ gousse ail', '½  citron(s)', '50 mL eau']"
Mini blanquette de dinde et riz.html,"['20 g riz', '15 g dinde', '80 g carotte(s)', '80 g champignons', '¼  oignon(s)', '1 c. à café crème fraîche', '1 pincée thym']"
Mini blinis avocat saumon.html,"['100 g farine', '1  oeuf(s)', '1  yaourt grec', '1 c. à café poudre à lever', '1 c. à café huile(s) végétale(s)', '2  avocat(s)', '50 g saumon', '20 g jus de citron', '  ciboulette']"
Mini bouchées façon « wrap » à croquer.html,"['1  galette(s) de blé', '40 g concombre', '40 g carotte(s)', '40 g avocat(s)', '20 g fromage frais', '½ tranche(s) jambon blanc']"
Mini cake potimarron châtaignes.html,"['100 g potimarron', '60 mL lait', '30 g farine de châtaignes', '30 g farine', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée(s) romarin']"
Mini cakes au poivron rouge.html,"['1  poivron(s) rouge(s)', '1  oeuf(s)', '100 g farine', '50 g fromage blanc', '60 g lait', '1 c. à café poudre à lever', '  basilic', '1 filet huile d’olive']"
Mini cakes au potimarron et champignons.html,"['300 g potimarron', '150 g champignons', '1  oeuf(s)', '100 g farine']"
Mini cakes aux tomates et à la viande hachée.html,"['150 g  pulpe de tomates', '100 g farine', '1  oeuf(s)', '50 g fromage blanc', '30 g boeuf haché', '¼  oignon(s)', '1 c. à café poudre à lever', '  basilic', '1 filet huile d’olive']"
Mini cannelés à la courgette et au fromage de chèvre.html,"['100 g courgette(s)', '10 g fromage de chèvre', '55 g farine', '30 g farine de pois chiches', '1 c. à café poudre à lever', '2 c. à soupe huile d’olive', '75 mL lait', '  poivre']"
Mini flans au brocoli.html,"['1  oeuf(s)', '1 c. à soupe farine', '1 c. à soupe crème fraîche', '10 g parmesan', '150 g brocoli', '  basilic']"
Mini pizza de polenta aux épinards et jambon.html,"['25 g polenta', '60 g épinards', '60 g tomates cerises', '20 g jambon blanc', '  parmesan']"
Mini quiches sans pâte au poulet et carottes.html,"['150 g carotte(s)', '20 g poulet', '10 g oignon(s)', '1  oeuf(s)', '75 g crème liquide', '½ c. à café herbes de Provence', '1 filet huile d’olive']"
Mini quiches sans pâte à la ratatouille.html,"['50 g tomate(s)', '50 g courgette(s)', '50 g aubergine(s)', '50 g poivron(s) rouge(s)', '1 c. à café huile d’olive', '¼  oignon(s)', '20 g farine', '60 mL lait', '1  oeuf(s)']"
Mouliné de boeuf aux champignons.html,"['100 g champignons de Paris', '30 g carotte(s)', '20 g oignon(s)', '2 c. à soupe tomates concassées', '15 g boeuf', '50 g pomme(s) de terre', ""1 c. à café huile d'olive""]"
Mouliné de boeuf façon bourguignon.html,"['100 g carotte(s)', '50 g pomme(s) de terre', '50 g coulis de tomates', '¼  oignon(s)', '15 g boeuf', ""1 c. à café huile d'olive""]"
"Mouliné de canard aux pruneaux, carotte et pomme de terre écrasées.html","['100 g carotte(s)', '75 g pomme(s) de terre', '15 g canard', '2  pruneau(x)', '1 c. à café huile(s) végétale(s)']"
Mouliné de chou vert et carotte au boeuf.html,"['75 g chou vert', '75 g carotte(s)', '75 g pomme(s) de terre', '15 g boeuf', '1 c. à café huile(s) végétale(s)']"
"Mouliné de chou-fleur et carottes au curry, lieu jaune.html","['70 g chou-fleur', '70 g carotte(s)', '70 g pomme(s) de terre', '2  pruneau(x)', '15 g lieu jaune', '1 c. à café crème', '1 pincée(s) curry']"
"Mouliné de chou-fleur, patate douce et carotte au curry.html","['75 g chou-fleur', '75 g patate(s) douce(s)', '75 g carotte(s)', '1 c. à soupe coulis de tomates', '1 c. à café huile(s) végétale(s)', '1 pincée curry']"
Mouliné de choux de Bruxelles aux châtaignes.html,"['150 g choux de Bruxelles', '30 g châtaignes', '⅓  oignon(s)', "" c. à soupe huile d'olive""]"
Mouliné de courgette et carotte au saumon.html,"['90 g carotte(s)', '90 g courgette(s)', '60 g pomme(s) de terre', '15 g saumon', '1 c. à café huile(s) végétale(s)']"
Mouliné de fenouil et carottes façon tajine.html,"['120 g fenouil', '120 g carotte(s)', '½  pamplemousse', '  épices', ""  huile d'olive""]"
Mouliné de légumes au saumon.html,"['120 g carotte(s)', '120 g courgette(s)', '15 g saumon', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques']"
Mouliné de légumes au boeuf et vermicelles.html,"['15 g vermicelles de riz', '70 g carotte(s)', '60 g courgette(s)', '1  oignon(s) nouveau(x)', '15 g boeuf haché', '1 feuille(s) basilic', '1 pincée(s) gingembre moulu', '  citron vert', ""  huile d'olive""]"
Mouliné de légumes d’automne.html,"['50 g patate(s) douce(s)', '100 g céleri-rave', '50 g carotte(s)', '50 g champignons', '10 g oignon(s)', '1 c. à café crème', '1 pincée thym', ""1 c. à café huile d'olive""]"
"Mouliné de nouilles parfumées au chou chinois, poireaux et saumon.html","['15 g vermicelles de riz', '60 g chou chinois', '60 g poireau(x)', '20 g saumon', '1 bout gingembre frais', '  coriandre']"
Mouliné de patate douce et poireau au boeuf.html,"['100 g patate(s) douce(s)', '100 g poireau(x)', '15 g boeuf', '1 c. à café huile(s) végétale(s)']"
Mouliné de potimarron et canard à la semoule.html,"['170 g potimarron', '25 g semoule de couscous', '15 g canard', '1 c. à café huile(s) végétale(s)']"
Mouliné de risotto de carotte et poulet à l’orange.html,"['20 g riz pour risotto', '100 g carotte(s)', '½  échalote(s)', '½  orange(s)', ""1 c. à café huile d'olive"", '15 g poulet']"
Mouliné de tajine d’agneau aux poires et pruneaux.html,"['50 g navet(s)', '40 g pomme(s) de terre', '40 g tomate(s)', '½  poire(s)', '½ gousse ail', '2 à 3  pruneau(x)', '15 g agneau', ""1 c. à café huile d'olive"", '1 pincée épices']"
Mouliné façon blanquette de veau.html,"['100 g carotte(s)', '80 g champignons de Paris', '15 g riz', '15 g veau', '½  oignon(s)', '1 c. à café crème', 'quelques feuilles persil']"
Mouliné façon pot-au-feu au boeuf.html,"['40 g pomme(s) de terre', '50 g carotte(s)', '50 g poireau(x)', '50 g navet(s)', '15 g boeuf haché', '½  oignon(s)', '1 c. à café huile d’olive', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
Mouliné façon potée de chou au porc.html,"['70 g chou vert', '50 g carotte(s)', '50 g pomme(s) de terre', '50 g navet(s)', '15 g porc', '1 c. à café huile(s) végétale(s)', '1 pincée herbes aromatiques']"
Mouliné façon risotto aux cèpes et poulet.html,"['15 g riz pour risotto', '125 g cèpes', '15 g poulet', '½  oignon(s) jaune(s)', ""1 c. à café huile d'olive"", '1 c. à café crème', '1 pincée coriandre', '5 g fromage râpé']"
"Mouliné façon tajine de poulet aux carottes, pruneaux et petits pois.html","['15 g poulet', '30 g pruneau(x)', '100 g carotte(s)', '80 g petits pois', '1 pincée épices', ""1 c. à café huile d'olive""]"
Mousse de courge butternut.html,"['220 g butternut', '40 g jus de pois chiches', '1 c. à café huile(s) végétale(s)']"
Mousse de courgettes sur lit de lentilles corail.html,"['120 g courgette(s)', '20 g farine', '1 c. à soupe crème fraîche', '1  oeuf(s)', '20 g lentilles corail']"
Mousse de courgettes.html,"['120 g courgette(s)', '20 g farine', '1 c. à soupe crème fraîche', '⅓  oeuf(s)']"
Mousse de poivron sur lit de polenta.html,"['180 g poivron(s) rouge(s)', '⅓  oeuf(s)', '1 c. à soupe fécule de maïs', '1 feuilles basilic', '20 g polenta']"
Mousse légère à la courge.html,"['100 g courge', '100 mL crème liquide', '½  échalote(s)', '1 c. à café huile d’olive', '1 feuille(s) gélatine', '1 pincée paprika']"
Mousseline de champignons.html,"['150 g champignons', '80 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)']"
Mousseline de panais au saumon.html,"['150 g panais', '60 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)', '15 à 20 g saumon']"
Mousseline de ratatouille au filet de poulet et riz.html,"['20 g riz', '50 g tomate(s)', '50 g poivron(s) rouge(s)', '30 g courgette(s)', '30 g aubergine(s)', '½  oignon(s)', '15 g poulet', ""1 c. à café huile d'olive""]"
Muffins au fenouil et sarrasin sans oeuf.html,"['150 g fenouil', '35 g farine de sarrasin', '35 g farine de riz', '50 mL lait', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '  aneth']"
Muffins au fenouil.html,"['150 g fenouil', '110 g farine', '75 mL lait', '1  oeuf(s)', '10 g fromage frais', '1 c. à soupe huile(s) végétale(s)', '1 c. à café poudre à lever', '½ c. à café herbes aromatiques']"
Muffins aux brèdes ti’son.html,"['250 g brèdes', '50 g farine de maïs', '1  oeuf(s)', '1 c. à café poudre à lever', '1 c. à soupe huile d’olive']"
Muffins aux légumes racines.html,"['100 g céleri-rave', '100 g panais', '100 g topinambour(s)', '100 g rutabaga(s)', '50 g carotte(s)', '50 g pomme(s) de terre', '1 c. à soupe crème fraîche', '1  oeuf(s)', '100 g farine']"
Muffins aux poireaux.html,"['250 g poireau(x)', '1  oeuf(s)', '50 g farine', '1 c. à café poudre à lever']"
Muffins de betterave au fromage.html,"['130 g betterave(s)', '20 g fromage frais', '1 c. à soupe farine', '1 c. à soupe fécule de maïs']"
Muffins de brocoli sans oeuf.html,"['150 g brocoli', '100 g farine', '60 mL lait', '50 g fromage blanc', '20 mL huile(s) végétale(s)', '1 c. à café poudre à lever', '  épices au choix']"
Muffins de brocoli.html,"['200 g brocoli', '100 g farine', '60 mL lait', '50 g fromage blanc', '1  oeuf(s)', '1 c. à café poudre à lever', '1 pincée(s) origan', '  muscade moulue']"
Muffins de butternut carottes et gingembre.html,"['75 g carotte(s)', '60 g butternut', '60 mL lait', ""50 g flocons d'avoine"", '30 g farine', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '1 pincée gingembre moulu']"
Muffins de légumes.html,"['120 g poireau(x)', '120 g courgette(s)', '120 g carotte(s)', '1  oeuf(s)', '50 g farine']"
Muffins de navet et crème de pruneaux aux amandes.html,"['100 g navet(s)', '60 mL lait', '50 g farine de sarrasin', '20 g pruneau(x)', ""10 g poudre d'amandes"", '1 c. à café crème fraîche', '1 c. à café huile(s) végétale(s)', '½ c. à café poudre à lever']"
Muffins de potimarron à la dinde et crème de châtaignes.html,"['100 g potimarron', '60 mL lait', '50 g farine de maïs', '30 g châtaignes', '10 g dinde', '1 c. à café crème fraîche', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever']"
Muffins d’épinards chèvre et sarrasin.html,"['120 g épinards', '20 g farine de sarrasin', '20 g fromage de chèvre', '1  oeuf(s)', '1 c. à soupe crème']"
Muffins et bâtonnets de carottes.html,"['200 g carotte(s)', '50 g farine', '30 mL lait', '25 g fromage blanc', '½  oeuf(s)', '½ c. à café levure']"
Muffins façon tomates mozzarella et rondelles de courgettes.html,"['100 g courgette(s)', '70 g pulpe de tomates', '50 g farine', '½  oeuf', '15 g mozzarella', ""1 c. à café huile d'olive"", '½ c. à café poudre à lever', '  basilic']"
Muffins fondants au chou rouge.html,"['250 g chou-rouge', '75 g farine', '1 c. à soupe crème fraîche', '1 c. à café huile d’olive']"
Muffins poivron patate douce et lotte.html,"['160 g poivron(s) jaune(s)', '100 g farine', '60 g patate(s) douce(s)', '20 g lotte', '1  oeuf(s)', '2 c. à soupe crème fraîche', '1 c. à café poudre à lever']"
Muffins sans oeuf au potimarron et fromage frais.html,"['100 g potimarron', '60 mL lait', '60 g farine', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '10 g fromage frais']"
Muffins sans oeuf aux légumes d’automne.html,"['60 mL lait', '60 g farine', '50 g carotte(s)', '25 g pomme(s) de terre', '25 g champignons', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever']"
Muffins à la carotte.html,"['150 g carotte(s)', '100 g farine', '1  oeuf(s)', '60 mL lait', '50 g fromage blanc', '1 c. à café poudre à lever', '½ c. à café curry']"
Méli-mélo de légumes au jambon.html,"['60 g haricots verts', '90 g carotte(s)', '60 g maïs', '1 c. à café huile(s) végétale(s)', '15 g jambon blanc']"
Méli-mélo de légumes mouliné.html,"['60 g haricots verts', '90 g carotte(s)', '60 g maïs', '1 c. à café huile(s) végétale(s)']"
Méli-mélo de légumes.html,"['80 g haricots verts', '100 g carotte(s)', '50 g maïs', '1 c. à café huile(s) végétale(s)']"
"Méli-mélo de quinoa, patate douce, carotte et brocoli et fromage de brebis.html","['15 g quinoa', '60 g patate(s) douce(s)', '75 g carotte(s)', '75 g brocoli', '1 c. à café huile(s) végétale(s)', '20 g fromage frais']"
Navarin d’agneau aux petits légumes.html,"['50 g pomme(s) de terre', '50 g navet(s)', '50 g petits pois', '50 g carotte(s)', '50 g tomate(s)', '20 g agneau', '½ gousse ail', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)', '1 pincée herbes aromatiques']"
Navets et riz à la sauce tomate.html,"['130 g navet(s)', '50 g coulis de tomates', '20 g riz', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
Nems anti-gaspi 😉.html,"['  feuille(s) de riz', '  vermicelles de riz', '  restes de légumes et/ou de viande', '  herbes aromatiques', '  eau chaude', '  huile(s) végétale(s)']"
Nouilles à la sauce façon « piperade » à l’oeuf.html,"['20 g pâtes', '100 g poivron(s) rouge(s)', '75 g tomate(s)', '¼  oeuf(s)', ""1 c. à café huile d'olive""]"
"Nouilles parfumées au chou chinois, poireaux et crevettes.html","['20 g vermicelles de riz', '70 g chou chinois', '70 g poireau(x)', '2  crevette(s)', '1 c. à café huile(s) végétale(s)', '1 bout gingembre frais', '  coriandre']"
"Nuggets de poisson et patate douce, purée de betterave.html","['50 g patate(s) douce(s)', '20 g poisson', '10 g oignon(s) jaune(s)', '20 g chapelure', '100 g betterave(s)', ""1 c. à café huile d'olive"", '  herbes aromatiques']"
Nuggets de sardines et patate douce.html,"['100 g sardine', '100 g patate(s) douce(s)', '¼  oignon(s)', '  chapelure', '  coriandre', '  huile d’olive']"
Nuggets à la truite et frites de navet.html,"['90 g navet(s)', '60 g pomme(s) de terre', '10 g truite', '2 c. à café huile d’olive', '1 c. à soupe farine', '5 brin(s) ciboulette', '¼ c. à café paprika', '  chapelure']"
One pot pasta légumes verts et filet de maquereau.html,"['70 g épinards', '70 g champignons', '25 g pâtes', '50 g petits pois', '100 mL eau', '1 c. à café crème', '20 g maquereau']"
Paëlla aux légumes et poisson.html,"['30 g riz', '20 g poisson', '50 g carotte(s)', '50 g poivron(s) rouge(s)', '50 g tomate(s)', '1 pincée curcuma', '1 pincée paprika', '1 c. à café huile(s) végétale(s)']"
